,datetime,year,month,day,hour,minutes,temp,hum,rain
16,"{u'mday': u'07', u'hour': u'07', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,7,30,19.0,78,0
17,"{u'mday': u'07', u'hour': u'08', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,8,0,19.0,83,0
18,"{u'mday': u'07', u'hour': u'08', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,8,30,19.0,83,0
19,"{u'mday': u'07', u'hour': u'09', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,9,0,20.0,78,0
20,"{u'mday': u'07', u'hour': u'09', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,9,30,20.0,78,0
21,"{u'mday': u'07', u'hour': u'10', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,10,0,21.0,73,0
22,"{u'mday': u'07', u'hour': u'10', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,10,30,21.0,73,0
23,"{u'mday': u'07', u'hour': u'11', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,11,0,22.0,69,0
24,"{u'mday': u'07', u'hour': u'11', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,11,30,22.0,69,0
25,"{u'mday': u'07', u'hour': u'12', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 PM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,12,0,21.0,73,0
26,"{u'mday': u'07', u'hour': u'12', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 PM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,12,30,21.0,73,0
